Path,Genre,OneHotGenre,Features
data/lmd_matched/lmd_matched/G/G/G/TRGGGDX128F4279B1F/dbae6b1eea5f2e96db44f73678c0be50.mid,Latin,[1 0 0 0 0 0 0 0 0 0 0 0 0],"[0.29295060080106805, -0.1, 0.55, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/O/TRGGOUL128F1483880/02b9ec374a3dd2142875860215be6713.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.3697895172192841, -0.1, 0.55, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/aa11b88e83ac0dbb4b7f5a27d171fb2c.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.34729617860156037, -0.1, -0.17, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/f5cb4cd2c0e1752233c120e8b30f576d.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.12045529238046308, -0.1, 0.31, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/64216833cc6eade8dc4dff15c1c7d2f0.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.34729617860156037, -0.1, -0.17, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/b420ed8105c6237b265e2776ccbf4256.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.1333247997914204, 0.0, 0.31, -0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/e415b6660846e1f0f6950af6b7b47345.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.1105582220211527, -0.1, -0.05, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/533c83a92a63bb26369b37fc6f6d8223.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.35143827148809426, -0.1, 0.31, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/60a3417a2bcce443e03bd7b70564bd4a.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.1105582220211527, -0.1, -0.05, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/aadf133729e7512832f3de9f3fe6b574.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[-0.2517728014181915, -0.1, -0.35, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/C/TRGGCQB128F149BB72/7171bc9258691d4fb7e38df9b5fcd725.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.17560746347787395, -0.1, -0.41, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/F/TRGGFRD128F145A9B7/32a77aafb04ea1281a104e32f0e1718e.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.1687716153740981, -0.1, -0.35, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/T/TRGGTWF12903CF5471/c0b96be705b4a2aa3150a9bbede6c9de.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.24642780976753206, -0.1, 0.55, 0.125, 0.125]"
data/lmd_matched/lmd_matched/G/G/T/TRGGTWF12903CF5471/892c273e4fab727db433a2994a3f331b.mid,Pop_Rock,[0 1 0 0 0 0 0 0 0 0 0 0 0],"[0.3629522275899088, -0.1, 0.31, 0.125, 0.125]"
